date,open,high,low,close
2021/4/20,17231.58,17323.87,17175.02,17323.87
2021/4/21,17282.76,17282.76,17167.39,17202.11
2021/4/22,17302.73,17428.15,17066.17,17096.97
2021/4/23,17117.49,17300.27,17055.48,17300.27
2021/4/26,17378.36,17572.29,17378.36,17572.29
2021/4/27,17586.02,17630.19,17489.71,17595.9
2021/4/28,17610.72,17628.81,17497.74,17567.53
2021/4/29,17646.93,17709.23,17548.3,17566.66
2021/5/4,17249.56,17328.55,16647.61,16933.78
2021/5/5,16968.75,17052.2,16843.44,16843.44
2021/5/6,16925.52,17088.73,16764.71,16994.36
2021/5/7,17032.23,17285,17032.23,17285
2021/5/10,17274.23,17304.47,17188.15,17235.61
2021/5/11,17137.19,17137.19,16460.87,16583.13
2021/5/12,16515.88,16552.63,15165.27,15902.37
2021/5/13,15668.33,16031.93,15368.54,15670.1
2021/5/14,15819.24,16075.48,15702.1,15827.09
2021/5/17,15554.99,15719.74,15159.86,15353.89
2021/5/18,15564.96,16153.77,15564.96,16145.98
2021/5/19,16112.21,16273.98,16009.76,16132.66
2021/5/20,16122.52,16154.08,15943.45,16042.36
2021/5/21,16136.86,16431.14,16136.86,16302.06
2021/5/24,16246.52,16397.59,16136.97,16338.29
2021/5/25,16444.75,16657.6,16444.75,16595.67
2021/5/26,16645.17,16706.29,16523.23,16643.69
2021/5/27,16591.7,16601.61,16419.42,16601.61
2021/5/28,16690.04,16889.01,16690.04,16870.86
2021/5/31,16948.47,17113.33,16939.91,17068.43
2021/6/2,17192.91,17274.66,17056.42,17165.04
2021/6/3,17201.3,17311.28,17198.89,17246.16
2021/6/4,17225.06,17225.06,17084.49,17147.41
2021/6/7,17176.09,17189.23,16775.85,17083.91
2021/6/8,17094.34,17181.52,17056.53,17076.21
2021/6/9,17082.52,17082.52,16907.43,16966.22
2021/6/10,17024.54,17159.22,16978.01,17159.22
2021/6/11,17200.45,17278.55,17193.61,17213.52
2021/6/15,17279.7,17371.29,17279.7,17371.29
2021/6/16,17357.37,17398.22,17275.02,17307.86
2021/6/17,17254.84,17390.61,17150.52,17390.61
2021/6/18,17384.74,17417.5,17318.54,17318.54
2021/6/21,17305.49,17305.49,17023.31,17062.98
2021/6/22,17162.71,17270.47,17075.55,17075.55
2021/6/23,17127.59,17375.79,17127.59,17336.71
2021/6/24,17358.57,17439.63,17319.89,17407.96
2021/6/25,17471.07,17597.33,17471.07,17502.99
2021/6/28,17531.82,17595.51,17481.23,17590.97
2021/6/29,17621.15,17713.24,17541.14,17598.19
2021/6/30,17648.25,17797.27,17648.25,17755.46
2021/7/2,17745.69,17795.88,17676.98,17710.15
2021/7/5,17783.8,17945.52,17783.8,17919.33
2021/7/6,17929.22,18008.37,17895.78,17913.07
2021/7/7,17901.25,17933.62,17756.82,17850.69
2021/7/8,17880.9,17935.11,17742.08,17866.09
2021/7/9,17778.12,17778.12,17597.46,17661.48
2021/7/12,17843.3,17947.9,17759.9,17814.33
2021/7/13,17931.47,18018.04,17786.76,17847.52
2021/7/14,17892.51,17940.86,17716.44,17845.75
2021/7/15,17878.78,18034.19,17878.78,18034.19
2021/7/16,17839.58,17926.38,17779.61,17895.25
2021/7/19,17854.35,17854.35,17708.15,17789.25
2021/7/20,17724.92,17724.92,17500.69,17528.74
2021/7/21,17593.6,17707.56,17352.24,17458.79
2021/7/22,17482.81,17667.38,17482.81,17572.33
2021/7/23,17603.95,17672.6,17511.86,17572.92
2021/7/26,17554.93,17637.36,17403.56,17403.56
2021/7/27,17394.77,17459.35,17264.5,17269.87
2021/7/28,17252.87,17252.87,16893.7,17135.22
2021/7/29,17216.58,17402.81,17190.48,17402.81
2021/7/30,17414.77,17429.01,17237.67,17247.41
2021/8/3,17489.12,17553.76,17456.2,17553.76
2021/8/4,17588.64,17636.11,17557.18,17623.89
2021/8/5,17624.82,17643.97,17566.72,17603.12
2021/8/6,17593.85,17593.85,17469.68,17526.28
2021/8/9,17505.01,17510.09,17350.15,17485.15
2021/8/10,17492.45,17524.91,17305.06,17323.64
2021/8/11,17308.62,17327.2,17090.25,17227.18
2021/8/12,17221.35,17233.11,17139.21,17219.94
2021/8/13,17216.34,17216.34,16978.11,16982.11
2021/8/16,16941.33,16983.59,16773.57,16858.77
2021/8/17,16841.62,16870.55,16657.63,16661.36
2021/8/18,16630.99,16826.27,16418.54,16826.27
2021/8/19,16777.78,16777.78,16375.4,16375.4
2021/8/20,16426.98,16507.11,16248.08,16341.94
2021/8/23,16459.13,16785.29,16459.13,16741.84
2021/8/24,16830.63,16904.3,16779.9,16818.73
2021/8/25,16821.08,17045.86,16821.08,17045.86
2021/8/26,17177.39,17201.42,16984.69,17066.96
2021/8/27,17061.1,17229.89,17000.26,17209.93
2021/8/30,17244.62,17396.52,17244.62,17396.52
2021/8/31,17384.61,17490.29,17207.57,17490.29
2021/9/2,17455.92,17523.16,17319.76,17319.76
2021/9/3,17380.52,17540.78,17380.52,17516.92
2021/9/6,17534.05,17633.67,17461.07,17495.3
2021/9/7,17534.38,17559.21,17388.37,17428.87
2021/9/8,17411.53,17447.58,17167.08,17270.49
2021/9/9,17175.04,17319.09,17122.95,17304.33
2021/9/10,17270.28,17474.57,17270.28,17474.57
2021/9/13,17452.16,17482.57,17387.57,17446.31
2021/9/14,17463.78,17529.47,17424.54,17434.9
2021/9/15,17434.02,17439.75,17316.52,17354
2021/9/16,17332.34,17411.37,17254.1,17278.7
2021/9/17,17279.29,17408.71,17235.45,17276.79
2021/9/22,17196.79,17196.79,16838.58,16925.82
2021/9/23,16998.07,17145.25,16998.07,17078.22
2021/9/24,17130.74,17273.59,17130.74,17260.19
2021/9/27,17278.11,17335.99,17235.68,17313.77
2021/9/28,17286.89,17286.89,17113.47,17181.44
2021/9/29,17127.86,17127.86,16801.78,16855.46
2021/9/30,16886.57,16994.21,16767.2,16934.77
2021/10/4,16600.52,16680.29,16380.06,16408.35
2021/10/5,16362.27,16460.75,16162.17,16460.75
2021/10/6,16488.21,16568.21,16303.63,16393.16
2021/10/7,16465.57,16731.58,16465.57,16713.86
2021/10/8,16742.35,16771.71,16605.49,16640.43
2021/10/12,16589.72,16589.72,16349.49,16462.84
2021/10/13,16480.98,16543.33,16328.47,16347.99
2021/10/14,16392.51,16519.96,16347.88,16387.28
2021/10/15,16426.76,16781.19,16426.76,16781.19
2021/10/18,16816.94,16862.03,16695.89,16705.46
2021/10/19,16791.12,16916.72,16772.15,16900.67
2021/10/20,16936.2,16973.86,16855.81,16887.82
2021/10/21,16904.46,17026.89,16873.99,16889.51
2021/10/22,16900.32,16932.89,16800.49,16888.74
2021/10/25,16879.34,16930.98,16784.11,16894.24
2021/10/26,16909.32,17067.15,16909.32,17034.34
2021/10/27,17037.37,17079.6,16973.16,17074.55
2021/10/28,17081.17,17104.86,16994.37,17041.63
2021/10/29,17058.04,17073.97,16920.68,16987.41
2021/11/2,17094.42,17237.09,17026.63,17065.97
2021/11/3,17087.89,17153.76,17080.51,17122.16
2021/11/4,17158.28,17219.65,17061.46,17078.86
2021/11/5,17097.16,17296.9,17097.16,17296.9
2021/11/8,17323.39,17415.3,17279.46,17415.3
2021/11/9,17433.1,17581.52,17433.1,17541.36
2021/11/10,17549.09,17575.44,17489.87,17559.65
2021/11/11,17527.18,17527.18,17403.48,17452.52
2021/11/12,17479.55,17602.05,17479.55,17518.13
2021/11/15,17560.52,17683.19,17560.52,17634.47
2021/11/16,17639.96,17708.1,17629.8,17693.13
2021/11/17,17705.29,17764.04,17669.58,17764.04
2021/11/18,17767.06,17841.37,17748.21,17841.37
2021/11/19,17864.19,17986.18,17786.05,17818.31
2021/11/22,17828.53,17857.73,17790.64,17803.54
2021/11/23,17797.9,17797.9,17650.07,17666.12
2021/11/24,17680.16,17722.89,17588.78,17642.52
2021/11/25,17686.12,17724.5,17609.51,17654.19
2021/11/26,17641.79,17641.79,17330.44,17369.39
2021/11/29,17320.01,17415.63,17167.24,17328.09
2021/11/30,17369.79,17535.23,17369.79,17427.76
2021/12/2,17575.91,17741.55,17559.44,17724.88
2021/12/3,17720.93,17781.14,17670.32,17697.14
2021/12/6,17650.67,17763.42,17585.95,17688.21
2021/12/7,17734.19,17796.92,17642.32,17796.92
2021/12/8,17845.06,17988.88,17832.42,17832.42
2021/12/9,17880.41,17925.12,17807.12,17914.12
2021/12/10,17893.29,17893.29,17767.8,17826.26
2021/12/13,17841.03,17919.35,17767.6,17767.6
2021/12/14,17754.38,17754.38,17566.99,17599.37
2021/12/15,17592.87,17678.78,17556.87,17660.1
2021/12/16,17719.06,17814.32,17719.06,17785.74
2021/12/17,17744.54,17822.74,17718.27,17812.59
2021/12/20,17812.81,17812.81,17646.39,17669.11
2021/12/21,17686.84,17825.89,17652.32,17789.27
2021/12/22,17805.74,17870.16,17799.72,17826.83
2021/12/23,17855.78,17960.99,17855.78,17946.66
2021/12/24,17966.35,18039.85,17953.57,17961.64
2021/12/27,17975.41,18099.78,17975.41,18048.94
2021/12/28,18099.71,18197.36,18099.71,18196.81
2021/12/29,18209.14,18283.25,18192.86,18248.28
2021/12/30,18270,18291.25,18216.45,18218.84
2022/1/4,18395.14,18526.35,18395.14,18526.35
2022/1/5,18598.13,18619.61,18446.52,18499.96
2022/1/6,18395.72,18427.15,18253.82,18367.92
2022/1/7,18388.16,18444.12,18134.41,18169.76
2022/1/10,18095.39,18243.26,18043.97,18239.38
2022/1/11,18266.54,18293.53,18135.43,18288.21
2022/1/12,18348.39,18394.7,18255.38,18375.4
2022/1/13,18356.21,18459.73,18346.81,18436.93
2022/1/14,18509,18509,18213.44,18403.33
2022/1/17,18512.15,18535.42,18435.02,18525.44
2022/1/18,18492.81,18575.41,18378.64,18378.64
2022/1/19,18275.18,18359.14,18199.35,18227.46
2022/1/20,18212.26,18292.14,18125.2,18218.28
2022/1/21,18113.94,18113.94,17851.39,17899.3
2022/1/24,17843.33,18004.45,17682.33,17989.04
2022/1/25,17890.71,17890.71,17645.66,17701.12
2022/1/26,17657.97,17776.42,17633.03,17674.4
2022/2/8,17955.95,18063.55,17955.95,17966.56
2022/2/9,18060.33,18168.6,18039.23,18151.76
2022/2/10,18217.29,18338.05,18145.04,18338.05
2022/2/11,18258.81,18310.94,18191.75,18310.94
2022/2/14,18182.73,18182.73,17965.22,17997.67
2022/2/15,17978.44,18085.91,17942.68,17951.81
2022/2/16,18109.17,18233.79,18109.17,18231.47
2022/2/17,18213.3,18330.63,18190.24,18268.57
2022/2/18,18250.37,18262.96,18098.52,18232.35
2022/2/21,18196.4,18253.1,18129.65,18221.49
2022/2/22,18159.51,18159.51,17840.38,17969.29
2022/2/23,17954.75,18109.28,17954.75,18055.73
2022/2/24,17939.53,17939.53,17561.07,17594.55
2022/2/25,17617.36,17737.32,17554.97,17652.18
2022/3/2,17864.11,17918.98,17784.64,17867.6
2022/3/3,17932.15,18026.03,17906.24,17934.4
2022/3/4,17845.01,17845.01,17710.54,17736.52
2022/3/7,17581.57,17581.57,17135.68,17178.69
2022/3/8,17000,17113.67,16764.78,16825.25
2022/3/9,16944.08,17072.74,16944.08,17015.36
2022/3/10,17224.73,17478.43,17224.73,17433.2
2022/3/11,17373.82,17373.9,17239.9,17264.74
2022/3/14,17287.9,17363.04,17217.58,17263.04
2022/3/15,17177.27,17177.27,16911.95,16926.06
2022/3/16,17007.58,17085.77,16808.43,16940.83
2022/3/17,17172.81,17472.95,17172.81,17448.22
2022/3/18,17439.91,17472.38,17359.5,17456.52
2022/3/21,17503.95,17603.99,17503.95,17560.36
2022/3/22,17512.41,17573.29,17468.55,17559.71
2022/3/23,17581.62,17738.69,17581.62,17731.37
2022/3/24,17711.17,17711.17,17603.22,17699.06
2022/3/25,17695.8,17747.13,17633.86,17676.95
2022/3/28,17510.15,17527.15,17368.66,17520.01
2022/3/29,17568.32,17585.91,17493.01,17548.66
2022/3/30,17572.9,17770.07,17572.9,17740.56
2022/3/31,17754.1,17767.81,17682.53,17693.47
2022/4/6,17484.19,17528.99,17381.07,17522.5
2022/4/7,17430.13,17438.6,17178.63,17178.63
2022/4/8,17210.4,17316.69,17210.4,17284.54
2022/4/11,17273.05,17316.35,17046.67,17048.37
2022/4/12,17005.84,17100.85,16905.13,16990.91
2022/4/13,17080.4,17333.21,17080.4,17301.65
2022/4/14,17353.25,17374.14,17245.65,17245.65
2022/4/15,17139.34,17141.33,17004.18,17004.18
2022/4/18,16958.66,16999.36,16845.51,16898.87
2022/4/19,16926.34,17106.26,16926.34,16993.4
2022/4/20,17057.13,17148.88,16983.55,17148.88
2022/4/21,17159.88,17213.66,17106.37,17127.95
2022/4/22,17088.76,17088.76,16923.87,17025.09
2022/4/25,16912.3,16912.3,16579.89,16620.9
2022/4/26,16677.84,16729.47,16582.11,16644.79
2022/4/27,16427.32,16427.32,16219.41,16303.35
